claim_number,age_of_driver,gender,marital_status,safety_rating,annual_income,high_education,address_change,property_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present,liab_prct,channel,police_report,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,total_claim,injury_claim,policy deductible,annual premium,days open,form defects,fraud reported
482340096,42,M,1,63,83695.36,1,1,Rent,20118,1/30/2023,Monday,Parking Lot,0,1,0,Phone,1,5,Large,9129.190001,other,21568.50317,2283.162336,500,1354.2,9.820433928,6,Y
482423040,41,M,0,74,83204.8,0,0,Own,80031,2/1/2024,Thursday,Highway,2,0,50,Phone,1,2,Large,24201.59311,gray,21151.96936,10881.60062,500,1055.6,9.614091564,5,Y
482713344,45,F,1,60,85290.24,0,1,Own,20117,12/22/2024,Sunday,Highway,3,0,49,Phone,1,2,Compact,35511.8946,gray,55957.33939,3887.92318,1000,1324.78,7.967402186,1,N
482837760,51,M,1,69,116072.32,1,1,Own,85008,10/31/2023,Tuesday,Highway,0,0,88,Phone,1,4,Large,44289.97274,silver,27987.68188,8692.255948,2000,1246.68,9.279734574,8,N
482858496,69,M,1,62,94839.36,0,1,Own,85055,2/5/2024,Monday,Local,0,1,88,Phone,1,4,Compact,38182.71665,other,21998.04046,1971.101403,1000,1622.67,7.474598739,0,Y
482899968,36,F,1,93,80304.0,1,1,Own,20151,6/12/2024,Wednesday,Highway,0,0,96,Phone,0,6,Compact,38620.89768,other,46927.76855,7817.322803,500,1082.36,8.499754358,4,N
483314688,37,M,1,74,80857.28,1,1,Rent,50047,10/10/2024,Thursday,Parking Lot,0,0,100,Phone,1,7,Large,16317.71627,blue,12072.02651,2327.80023,2000,1239.06,9.756473542,5,Y
483356160,47,M,1,83,86253.44,1,1,Own,50025,3/5/2024,Tuesday,Local,0,1,55,Phone,1,7,Medium,26529.96294,white,12753.92998,4482.395333,2000,1246.68,8.705835497,7,N
483397632,46,M,1,62,85758.4,1,0,Rent,80010,9/23/2023,Saturday,Parking Lot,0,0,0,Phone,0,5,Medium,11617.94887,red,32364.57578,5468.297497,1000,1622.67,7.692210687,5,N
483563520,48,F,1,41,86730.56,1,1,Own,85010,4/20/2023,Thursday,Local,0,0,97,Phone,1,7,Large,29017.64548,red,21554.18689,5704.804441,500,1082.36,9.756946712,7,N
483978240,41,M,1,77,83175.68,1,1,Rent,50025,3/25/2023,Saturday,Parking Lot,0,0,56,Phone,0,5,Compact,45096.18086,gray,27925.76186,3478.95922,1000,1324.78,9.747490146,3,Y
487752192,68,F,1,70,94521.28,0,1,Own,80011,4/23/2023,Sunday,Local,1,0,27,Phone,1,5,Compact,8991.351314,red,10583.93103,4456.256872,500,1078.65,9.514297913,4,N
488332800,37,F,1,57,80859.52,1,0,Own,15005,12/24/2023,Sunday,Local,0,0,50,Phone,0,6,Medium,29281.60305,red,31967.70759,2522.159854,1000,1324.78,8.289838412,7,N
488374272,26,M,1,69,87001.6,1,0,Rent,50035,3/17/2024,Sunday,Local,0,1,65,Phone,1,10,Large,18610.97589,gray,23607.37803,6978.820633,500,1518.54,9.736668619,6,N
488581632,49,M,1,77,87225.6,1,1,Own,85074,11/28/2023,Tuesday,Parking Lot,0,0,1,Phone,0,7,Medium,13904.83641,white,10139.46864,3859.016253,500,1082.36,9.896964503,3,N
489100032,70,F,1,79,95152.96,1,0,Rent,20141,4/3/2023,Monday,Parking Lot,2,0,98,Phone,1,3,Medium,34238.50011,gray,33613.62205,6081.115955,1000,999.43,9.523085539,4,N
489141504,45,M,1,69,85249.92,0,0,Own,20107,7/24/2023,Monday,Parking Lot,0,0,57,Phone,1,5,Compact,14628.17103,silver,21776.54819,9985.783561,1000,1726.91,8.227847425,1,N
489431808,55,M,1,93,89750.08,0,0,Own,85077,3/11/2024,Monday,Parking Lot,0,0,3,Phone,1,7,Large,12596.79329,blue,18562.52703,8513.605456,1000,1324.78,8.045672752,6,N
489576960,40,M,1,75,82640.32,1,1,Rent,80041,6/8/2023,Thursday,Parking Lot,1,0,48,Phone,1,3,Medium,21490.00426,silver,44658.20395,5508.762359,1000,1622.67,9.216345464,1,N
489722112,47,F,1,47,86233.28,0,1,Own,85053,7/10/2024,Wednesday,Local,1,1,39,Phone,1,4,Compact,10755.67831,blue,7403.591798,3787.774175,500,1354.2,9.4621974,5,N
489846528,39,M,0,67,82078.08,0,1,Rent,20117,12/17/2023,Sunday,Local,0,0,88,Phone,0,1,Compact,17177.31475,red,17818.11887,5071.273091,500,1055.6,8.883760182,2,N
490634496,52,M,1,67,88544.96,1,1,Rent,20156,7/31/2024,Wednesday,Parking Lot,0,0,96,Phone,0,3,Compact,25038.13832,white,8242.707697,5505.013854,1000,1726.91,8.555630213,5,N
490675968,44,M,1,72,84763.84,0,0,Own,85030,8/3/2023,Thursday,Parking Lot,0,0,94,Phone,1,4,Medium,9309.832713,gray,19771.76424,3383.011748,500,1232.57,8.652019309,4,N
490841856,45,F,0,74,85285.76,0,1,Own,85017,11/29/2024,Friday,Parking Lot,0,0,97,Phone,1,6,Compact,28262.56002,silver,37118.21807,4171.000841,2000,1246.68,8.027492829,4,N
491152896,38,M,1,60,81486.72,0,0,Rent,20124,10/17/2023,Tuesday,Local,0,0,50,Phone,1,5,Large,14437.61323,red,24653.59029,5847.75292,1000,1726.91,10.3895825,5,N
491733504,40,F,1,70,82633.6,0,0,Own,50026,1/6/2023,Friday,Local,1,0,100,Phone,1,4,Compact,19259.43168,black,15283.92611,4969.475466,500,1354.2,9.461181021,5,N
492272640,41,M,1,71,116502.4,1,1,Rent,20110,8/4/2023,Friday,Local,1,0,1,Phone,1,7,Compact,32335.88007,black,18603.63905,8305.638771,2000,1246.68,8.121294426,5,N
492355584,38,M,1,75,114093.952,1,0,Own,20129,10/21/2023,Saturday,Local,0,0,3,Phone,0,5,Medium,30187.92286,red,26697.22195,8134.329644,500,1082.36,9.408079796,8,N
494429184,47,F,0,68,86228.8,1,0,Own,85011,5/19/2023,Friday,Highway,1,0,49,Phone,1,5,Large,39894.46352,other,12627.59822,3289.057273,2000,1155.97,8.387930679,4,N
494532864,56,M,1,72,90195.84,1,1,Rent,85045,10/11/2023,Wednesday,Local,1,0,8,Phone,0,11,Medium,21165.35326,gray,30393.82089,5419.021739,1000,1726.91,9.210255983,6,N
494864640,53,M,1,89,88948.16,1,0,Own,80033,8/1/2023,Tuesday,Parking Lot,1,0,40,Phone,1,6,Medium,36996.89508,black,21902.49825,3247.869193,500,1354.2,8.748378665,5,N
494968320,38,F,0,56,81475.52,1,1,Rent,20116,4/25/2023,Tuesday,Local,0,0,75,Phone,1,6,Medium,22183.65873,blue,16327.84173,7553.756882,500,1055.6,9.881178574,6,N
495092736,37,F,0,85,80897.6,0,1,Rent,80007,5/18/2024,Saturday,Parking Lot,0,0,72,Phone,0,6,Compact,8624.922909,gray,57608.2003,2848.858093,500,1232.57,8.282640121,5,N
495134208,51,F,1,92,88043.2,0,1,Own,80106,11/10/2023,Friday,Parking Lot,0,0,0,Phone,1,5,Large,21133.20265,silver,23213.76207,3963.631059,1000,1324.78,8.140914021,7,N
495424512,39,F,1,89,82066.88,0,1,Rent,50035,9/20/2024,Friday,Local,0,0,76,Phone,1,9,Large,33515.67596,blue,26662.35596,4778.800052,500,1354.2,9.186386626,3,N
498680064,21,M,1,63,48739.2,1,0,Rent,50033,5/23/2024,Thursday,Parking Lot,0,0,29,Phone,0,4,Compact,29160.5618,blue,7598.804839,5682.44733,500,1078.65,7.343546091,5,N
499779072,48,M,0,78,86679.04,1,0,Rent,15046,4/29/2023,Saturday,Local,2,0,62,Phone,1,3,Large,11097.97398,silver,9482.157188,5130.857683,1000,1622.67,8.680017707,5,N
499986432,42,F,1,81,83737.92,1,1,Own,80047,8/17/2024,Saturday,Local,0,0,66,Phone,0,4,Medium,34581.64257,red,32710.11098,7254.263109,1000,999.43,8.355090081,2,N
500007168,36,F,1,81,80281.6,1,0,Own,85062,5/11/2023,Thursday,Parking Lot,2,0,15,Phone,1,5,Large,9550.542401,gray,27164.54785,5018.729417,2000,1155.97,7.693586149,3,N
502930944,62,F,1,79,92435.84,1,1,Rent,15005,7/19/2023,Wednesday,Local,0,0,1,Phone,1,7,Medium,9720.275021,white,23358.14278,5439.890754,2000,1155.97,8.337418353,3,N
503241984,48,M,1,85,86726.08,0,1,Own,85018,8/24/2023,Thursday,Local,0,1,20,Phone,0,4,Large,19335.80237,other,17745.1975,10614.64519,500,1518.54,9.516098684,5,N
503387136,65,F,1,89,93513.28,1,1,Rent,80002,11/11/2024,Monday,Parking Lot,0,1,82,Phone,1,7,Large,48503.94514,white,12008.71032,6178.417823,1000,1622.67,9.028614405,4,N
503470080,37,M,1,48,80897.6,1,0,Rent,50041,8/6/2024,Tuesday,Highway,0,0,76,Phone,1,2,Large,43942.97408,blue,23474.11858,4507.065769,500,1055.6,9.270358302,4,N
503490816,42,F,1,75,83681.92,1,0,Own,85001,10/5/2023,Thursday,Parking Lot,0,0,3,Phone,1,2,Large,10217.83279,gray,38843.67334,9390.671475,1000,999.43,7.213638203,5,N
505170432,57,F,1,90,90581.12,0,1,Rent,20149,10/18/2024,Friday,Local,0,0,100,Phone,1,4,Compact,25233.4803,blue,28817.7352,5061.248799,500,1354.2,8.464689358,6,N
505730304,60,M,1,65,91705.6,0,1,Own,20151,2/26/2024,Monday,Local,0,1,31,Phone,0,4,Medium,11193.64107,red,41847.23069,5559.497271,500,1354.2,8.72404477,7,Y
506248704,47,M,1,70,86240.0,0,1,Own,15035,8/21/2024,Wednesday,Local,1,0,97,Phone,1,6,Large,20638.20497,gray,30131.81204,2086.559187,1000,1726.91,8.387210892,3,N
506310912,41,M,1,85,83198.08,1,0,Own,15046,2/1/2023,Wednesday,Parking Lot,0,0,17,Phone,1,9,Large,36324.69277,white,29444.69836,6531.185896,500,1232.57,10.44113459,2,N
506891520,51,M,0,62,32904.0,1,1,Own,20146,10/6/2023,Friday,Parking Lot,0,0,99,Phone,1,6,Medium,23368.45848,red,11431.21653,2007.174208,500,1232.57,6.917930488,5,N
507161088,59,M,1,64,35259.2,1,1,Rent,20108,5/5/2024,Sunday,Parking Lot,1,0,47,Phone,0,9,Compact,31656.28761,white,31673.21237,5650.722476,2000,1239.06,8.408958218,6,N
507472128,38,M,1,54,38204.8,0,1,Own,85078,8/20/2024,Tuesday,Parking Lot,0,0,23,Phone,1,9,Compact,32520.05847,other,33876.52376,3668.139867,500,1354.2,8.953512417,2,N
507513600,55,F,1,94,34110.4,1,0,Rent,80103,4/12/2023,Wednesday,Highway,0,0,6,Phone,1,3,Compact,8572.16047,other,40191.59655,2632.980762,500,1055.6,8.744483917,5,N
507534336,35,F,1,74,36899.2,0,0,Own,20134,3/28/2023,Tuesday,Local,0,1,99,Phone,1,4,Large,28658.03499,silver,31227.40016,11405.97888,1000,999.43,8.945536851,5,N
508197888,45,F,1,78,40880.0,1,1,Own,15003,2/5/2024,Monday,Local,0,0,22,Phone,0,4,Medium,42768.28811,black,40051.11458,2235.691687,1000,1726.91,7.6980225,3,N
508280832,59,F,1,90,44228.8,1,1,Own,50008,11/13/2024,Wednesday,Parking Lot,2,0,51,Phone,1,2,Compact,50935.55319,blue,11209.60782,2163.727668,500,1078.65,8.84792237,3,N
508363776,32,M,0,74,44359.68,1,1,Own,85029,7/22/2024,Monday,Local,0,1,42,Phone,1,8,Medium,24338.75479,silver,18845.58523,3183.182214,1000,1324.78,11.21295875,1,N
508405248,44,M,1,69,48433.92,0,0,Own,85027,3/24/2024,Sunday,Parking Lot,2,0,51,Phone,1,4,Medium,35988.31766,gray,29629.09663,7617.842035,500,1518.54,10.0638714,5,N
508799232,33,M,0,90,44759.04,1,1,Own,20102,8/14/2024,Wednesday,Local,0,1,4,Phone,1,3,Compact,14760.4854,blue,13198.72184,2100.73937,500,1354.2,9.948075558,8,N
508965120,37,F,1,27,46210.56,1,1,Own,80033,3/27/2023,Monday,Parking Lot,0,0,69,Phone,0,7,Medium,49592.8871,white,12430.96224,2173.950581,1000,999.43,7.633100751,4,N
509649408,39,F,1,47,46888.96,0,0,Own,50025,9/26/2024,Thursday,Local,0,0,94,Phone,1,7,Large,28985.7968,gray,9993.096889,3834.163034,1000,1324.78,9.107966418,4,N
512531712,43,F,0,86,48116.48,1,1,Rent,50020,9/25/2023,Monday,Parking Lot,2,0,7,Phone,1,2,Medium,40665.73097,other,58074.26288,3264.536308,1000,1324.78,9.501526751,4,N
512635392,25,M,1,86,41203.2,1,0,Rent,80015,1/25/2023,Wednesday,Local,0,1,13,Phone,0,2,Compact,31001.59619,gray,50049.64413,5717.168481,2000,1246.68,8.766780229,5,N
513216000,24,M,1,76,40692.48,1,0,Rent,80005,2/1/2024,Thursday,Parking Lot,0,0,34,Phone,0,3,Compact,38382.11867,black,21325.70039,6215.039365,500,1518.54,9.073987227,3,N
514107648,40,F,0,84,47205.12,0,1,Own,80033,7/3/2024,Wednesday,Local,1,1,79,Phone,0,7,Medium,36527.54393,blue,25278.45788,5473.511199,500,1055.6,9.70666916,3,N
514149120,35,F,1,84,45519.36,1,1,Own,50034,7/29/2023,Saturday,Local,1,0,98,Phone,0,3,Compact,17994.00077,gray,34528.42307,2152.114513,1000,999.43,9.145568421,4,N
514211328,40,F,1,63,47225.6,0,0,Own,80014,12/3/2024,Tuesday,Local,0,0,34,Phone,0,6,Medium,46894.57512,white,11177.4232,4781.712758,1000,1726.91,9.456152763,3,N
516450816,22,F,0,43,49446.4,1,1,Rent,15009,10/13/2024,Sunday,Parking Lot,0,0,11,Phone,0,7,Medium,37133.63487,other,7679.982416,4041.615358,1000,1622.67,7.506555691,2,Y
516907008,51,F,1,77,82908.8,0,0,Own,85069,5/4/2023,Thursday,Parking Lot,0,0,31,Phone,0,8,Compact,12559.77212,gray,55051.8263,2697.501929,500,1078.65,8.508890006,3,N
517342464,51,F,0,60,82908.8,0,1,Own,15042,10/12/2023,Thursday,Parking Lot,0,0,0,Phone,0,3,Compact,15486.56873,blue,14628.22291,3885.66223,1000,1726.91,9.049463093,3,N
518234112,49,F,1,76,49812.48,0,1,Rent,15009,6/23/2024,Sunday,Local,0,0,71,Phone,0,8,Medium,20941.38306,other,22559.2618,5084.602402,500,1082.36,8.608782092,7,N
518586624,40,F,1,90,47189.76,1,1,Own,85025,4/20/2024,Saturday,Parking Lot,0,0,59,Phone,0,2,Large,33771.9516,white,15597.34052,6351.188304,1000,1726.91,8.224218955,6,N
518711040,45,M,1,57,48716.8,1,0,Own,20142,11/13/2024,Wednesday,Parking Lot,1,0,29,Phone,0,9,Medium,29492.36919,white,22352.43832,5400.143301,2000,1239.06,9.536696589,2,N
518939136,46,F,1,84,49002.24,1,0,Rent,15057,7/2/2024,Tuesday,Local,0,0,1,Phone,0,6,Medium,25702.94459,other,28710.62534,3075.174568,1000,999.43,8.191153093,11,N
529825536,51,M,1,57,82908.8,1,0,Rent,20160,1/13/2024,Saturday,Local,0,1,83,Phone,1,5,Medium,27816.58412,gray,11796.84938,3240.262609,500,1518.54,8.853922877,7,N
545688576,22,M,1,90,49435.2,1,0,Rent,50006,10/20/2023,Friday,Parking Lot,3,0,58,Phone,1,4,Compact,7586.995962,silver,32163.74846,5575.182297,500,1518.54,9.685836524,7,Y
551826432,21,M,1,81,48721.6,1,1,Rent,80041,5/12/2023,Friday,Highway,0,0,0,Phone,0,2,Medium,11388.2009,other,10312.45165,7171.972926,1000,1324.78,8.063356034,8,Y
555517440,21,M,1,90,48716.8,0,1,Rent,15035,10/25/2023,Wednesday,Highway,1,0,16,Phone,1,6,Medium,18774.0886,black,23197.46817,6157.910141,500,1082.36,8.737246577,1,N
560141568,52,M,1,79,82908.8,0,0,Rent,85009,7/8/2023,Saturday,Local,0,0,80,Phone,0,4,Compact,25442.8532,silver,12782.21706,4379.750275,1000,1726.91,9.374660142,1,N
567793152,22,M,1,86,49428.8,1,0,Rent,50033,7/20/2024,Saturday,Local,2,0,48,Phone,0,9,Compact,17425.59723,red,38244.85504,4209.017581,1000,1324.78,6.981526961,4,N
578409984,20,M,1,72,47899.2,1,0,Rent,50012,10/19/2024,Saturday,Local,0,0,59,Phone,1,5,Compact,6883.321329,white,37673.20396,3730.651465,1000,1622.67,7.153802181,3,Y
580048128,51,M,0,62,82908.8,0,1,Own,85038,3/23/2024,Saturday,Parking Lot,0,1,83,Phone,1,4,Compact,25564.6958,white,12333.0445,5831.905135,500,1354.2,9.436501367,3,N
582266880,51,F,0,57,82908.8,1,0,Own,15012,9/20/2023,Wednesday,Parking Lot,1,1,0,Phone,1,2,Compact,38369.46678,white,19640.50286,1460.457078,500,1078.65,9.636881955,4,N
586434816,45,M,0,23,10878.4,0,1,Own,85025,5/18/2024,Saturday,Highway,0,0,12,Phone,1,3,Large,12768.97648,other,11272.15557,12351.69561,1000,1726.91,8.776232088,6,Y
586745856,34,F,1,90,156422.4,1,0,Rent,80012,4/17/2024,Wednesday,Local,0,0,41,Phone,1,6,Large,26924.52412,black,4820.264543,6819.303101,1000,1622.67,9.549195702,3,N
586766592,30,F,1,70,94428.8,1,1,Rent,20165,11/25/2023,Saturday,Parking Lot,2,1,58,Phone,1,5,Large,4860.994001,gray,13369.98501,4604.730439,500,1082.36,9.367128739,3,N
586849536,50,F,1,71,162580.8,1,0,Rent,80031,8/8/2024,Thursday,Local,0,0,1,Phone,0,5,Large,43992.08188,red,17093.89653,5532.5204,1000,999.43,8.541095798,2,N
586953216,29,F,0,70,153875.2,1,0,Rent,50013,4/24/2024,Wednesday,Local,0,0,2,Phone,1,4,Compact,21974.17582,black,12579.41039,4747.524005,500,1232.57,8.527231739,2,N
589275648,50,F,1,86,90190.4,0,0,Own,85073,10/10/2024,Thursday,Local,0,0,65,Phone,1,6,Compact,10786.30699,red,15492.08601,4467.773106,500,1354.2,8.843526981,2,N
589711104,51,F,0,78,82908.8,0,0,Rent,85021,3/30/2023,Thursday,Local,0,1,99,Phone,1,2,Compact,23000.94128,other,12050.16279,6640.809305,1000,1324.78,9.775466976,2,N
590022144,67,F,1,19,90190.4,1,1,Own,20155,6/21/2023,Wednesday,Local,0,0,92,Phone,0,6,Medium,27502.82029,gray,13388.03873,5398.540546,1000,999.43,9.600560508,5,N
590042880,32,M,1,78,99801.6,0,1,Own,15012,4/5/2024,Friday,Parking Lot,1,0,7,Phone,1,6,Large,16993.65829,red,26248.71085,4757.16102,2000,1155.97,9.780479169,6,N
590457600,46,F,1,82,29014.4,0,1,Rent,80044,12/1/2024,Sunday,Local,0,0,19,Phone,1,10,Large,26471.46403,white,19703.18725,4955.209352,2000,1239.06,9.547976892,3,Y
590602752,35,F,0,66,90190.4,1,1,Own,20135,5/24/2024,Friday,Highway,0,0,8,Phone,0,3,Medium,10346.23954,red,33267.22543,3239.744834,2000,1246.68,7.45443127,5,N
590623488,51,M,1,80,99801.6,0,1,Rent,50002,8/23/2024,Friday,Highway,1,0,57,Phone,0,6,Large,30831.82395,red,29552.91647,5417.85265,1000,1622.67,7.862299939,1,Y
592448256,51,M,1,69,82908.8,1,0,Own,80102,7/26/2024,Friday,Parking Lot,0,0,26,Phone,1,6,Medium,31832.9291,black,20829.24831,4549.737788,2000,1155.97,8.172085227,5,N
592593408,59,M,1,81,99801.6,1,0,Own,15018,9/10/2023,Sunday,Highway,0,0,13,Phone,1,4,Medium,27445.26347,white,20001.82762,7498.061905,1000,1324.78,10.84161931,4,N
593879040,46,F,1,86,29014.4,1,1,Own,15012,9/12/2023,Tuesday,Local,0,0,66,Phone,1,7,Large,19047.9737,other,48424.56663,7448.796375,1000,999.43,7.862958628,0,Y
593982720,34,M,1,77,90190.4,1,0,Own,50006,2/13/2024,Tuesday,Local,0,0,91,Phone,0,6,Large,24129.597,gray,27677.39876,5846.782293,2000,1155.97,6.229424638,2,N
595579392,58,F,1,87,29014.4,1,0,Own,80021,12/26/2024,Thursday,Local,0,1,23,Phone,1,4,Large,6362.50024,black,12925.28664,5566.0324,2000,1246.68,8.01833883,2,Y
595745280,44,F,1,61,29014.4,0,1,Rent,50047,10/7/2023,Saturday,Highway,0,0,44,Phone,0,1,Medium,16330.98904,gray,20688.72455,6773.987767,500,1055.6,7.793384035,1,Y
597860352,37,M,1,31,29014.4,1,0,Own,50047,8/4/2024,Sunday,Local,1,0,26,Phone,0,4,Large,35031.32778,red,32760.66537,5052.984386,1000,999.43,9.530549787,5,Y
598544640,41,F,1,58,29014.4,1,1,Own,85076,10/8/2024,Tuesday,Highway,0,1,77,Phone,1,2,Medium,33864.21758,gray,17345.85781,3620.454479,1000,1622.67,9.106832402,2,Y
598669056,51,F,1,81,82908.8,1,0,Own,50039,2/26/2023,Sunday,Local,1,0,90,Phone,0,5,Compact,27205.20869,silver,21411.79046,4340.173974,500,1055.6,9.428467385,4,N
598917888,56,F,1,84,29014.4,0,1,Rent,15012,1/28/2023,Saturday,Parking Lot,0,0,96,Phone,0,6,Medium,15409.35935,silver,9418.536775,5236.559852,500,1078.65,8.441609483,2,Y
599332608,51,M,0,54,82908.8,1,0,Rent,15055,9/3/2024,Tuesday,Local,1,0,4,Phone,0,2,Compact,11457.52718,red,17033.68262,2155.033193,2000,1155.97,9.69629091,3,N
605138688,59,F,1,80,25248.0,0,1,Rent,80017,9/1/2024,Sunday,Highway,2,1,98,Phone,1,10,Compact,24726.45472,black,20272.70225,4125.739679,1000,1726.91,9.303854747,1,Y
607627008,54,F,0,35,85512.0,0,1,Own,50012,5/13/2024,Monday,Local,3,1,16,Phone,1,4,Medium,27309.12372,blue,17980.70759,4805.807255,1000,999.43,8.152307707,2,N
607792896,27,F,1,78,85512.0,1,1,Rent,15034,12/9/2023,Saturday,Parking Lot,1,0,93,Phone,0,8,Large,52375.52557,other,26979.42996,3897.255957,1000,1324.78,7.637500663,6,N
608435712,47,M,0,81,81585.6,0,0,Own,15057,8/1/2024,Thursday,Local,1,0,92,Phone,0,5,Compact,43457.05744,blue,14835.96955,6094.453639,500,1078.65,8.536299421,5,N
609306624,32,F,1,92,25470.4,0,1,Own,15007,2/8/2024,Thursday,Parking Lot,1,0,99,Phone,0,6,Compact,32054.32359,gray,20160.62883,4940.497917,500,1078.65,8.996794899,4,Y
609348096,35,F,1,75,93310.4,0,0,Own,80106,1/24/2023,Tuesday,Local,0,0,3,Phone,1,7,Compact,51142.10911,black,10432.19791,7277.378985,1000,1324.78,9.516113669,4,N
610011648,45,M,0,68,94942.4,1,0,Own,20134,9/29/2023,Friday,Local,0,0,2,Phone,0,8,Large,35322.47979,other,14041.65061,5982.598195,1000,1324.78,8.713914984,4,N
613184256,70,F,1,16,94942.4,1,0,Own,15022,2/25/2023,Saturday,Local,0,1,1,Phone,0,11,Large,29204.73657,red,25189.1546,5401.004281,1000,1726.91,8.830409146,4,N
613287936,41,F,0,91,94942.4,1,1,Rent,15021,6/28/2023,Wednesday,Highway,0,0,74,Phone,0,7,Compact,54051.31666,red,20187.70872,4827.079376,500,1078.65,8.46076989,2,N
614801664,49,F,1,72,112249.6,1,1,Own,20159,11/24/2024,Sunday,Local,2,0,23,Phone,0,9,Compact,34846.13448,red,22392.353,2859.535643,500,1232.57,7.842777299,1,N
614822400,47,M,0,8,161622.4,0,1,Rent,15026,4/2/2023,Sunday,Local,2,0,30,Phone,1,3,Medium,19284.95533,gray,10359.46367,3294.794204,500,1078.65,8.637665275,7,N
618140160,26,M,1,88,88593.6,0,0,Rent,20128,9/7/2023,Thursday,Local,2,1,50,Phone,1,7,Large,35118.4653,silver,9617.925224,7282.070679,500,1354.2,9.351859406,2,N
618803712,28,M,1,65,88593.6,1,0,Rent,85069,8/27/2024,Tuesday,Local,0,0,64,Phone,1,6,Medium,19086.04788,other,27585.90279,5725.449939,2000,1246.68,9.040830853,3,N
619467264,37,F,1,79,88593.6,1,0,Rent,50012,7/26/2023,Wednesday,Parking Lot,0,0,61,Phone,0,6,Large,42168.18947,red,8169.271062,6672.484647,500,1082.36,8.324930825,0,N
619674624,43,F,1,64,23315.2,1,1,Own,80106,11/8/2023,Wednesday,Highway,0,0,1,Phone,0,6,Medium,45447.54975,white,27641.1346,3663.587206,2000,1155.97,7.915237254,6,Y
620213760,49,M,0,81,23315.2,1,0,Own,50021,4/28/2023,Friday,Local,1,0,1,Phone,1,3,Compact,17385.31719,gray,18262.47358,6358.31004,500,1354.2,10.27753413,3,Y
620358912,49,M,0,72,88593.6,0,1,Own,15035,9/26/2024,Thursday,Local,0,0,94,Phone,0,4,Medium,34812.29877,other,4673.751469,2858.767538,500,1078.65,10.47941148,4,N
621851904,39,M,1,65,88593.6,1,0,Own,15021,6/26/2023,Monday,Highway,0,0,92,Phone,0,5,Medium,29264.61267,black,9424.786935,4935.488513,1000,999.43,9.455828217,1,N
622038528,51,M,0,66,82908.8,1,1,Own,80013,3/31/2024,Sunday,Highway,1,0,98,Phone,1,7,Compact,27934.10525,other,27565.42805,5455.197221,1000,1324.78,9.5665682,6,N
953856,25,F,1,90,21520.0,1,1,Rent,50037,5/21/2024,Tuesday,Parking Lot,0,0,27,Online,1,10,Compact,24877.83571,white,7352.712281,6928.354549,2000,1131.4,3.836530928,3,Y
2218752,42,M,0,69,39825.6,1,0,Own,20138,5/14/2023,Sunday,Highway,0,0,22,Online,1,1,Medium,39995.5084,gray,14213.3989,2672.115702,500,1262.08,3.685416716,5,Y
2985984,22,F,0,19,49438.4,1,0,Rent,20148,4/17/2023,Monday,Parking Lot,0,0,16,Online,0,2,Compact,8693.258524,blue,11211.98119,7014.866649,1000,1414.74,3.998159547,4,N
5598720,27,F,0,91,22744.0,0,1,Rent,80024,10/17/2024,Thursday,Local,0,1,31,Online,1,4,Medium,18863.8582,silver,10552.74943,3263.765191,1000,1125.37,4.057348782,4,Y
5930496,22,M,1,69,149478.4,0,0,Rent,50058,2/9/2024,Friday,Parking Lot,0,0,100,Online,0,4,Medium,24786.22089,red,14257.22238,2655.355184,500,1222.75,4.00376738,8,N
6075648,40,M,0,68,99046.4,0,1,Rent,85009,5/29/2024,Wednesday,Local,0,1,34,Online,1,3,Medium,6824.778815,gray,27635.95547,5920.179999,2000,1374.22,3.830286178,5,N
6718464,23,F,1,85,150179.2,1,0,Own,50039,3/25/2023,Saturday,Local,0,0,72,Online,0,3,Large,19730.66413,red,54359.72261,5030.649249,500,1040.75,4.184982125,7,N
7485696,28,F,0,47,33323.0,1,1,Rent,80028,12/19/2023,Tuesday,Parking Lot,0,0,62,Online,0,4,Compact,26144.80726,white,23265.25716,7798.074132,2000,1238.62,4.689987516,2,Y
7796736,20,F,1,84,47937.6,0,0,Rent,85068,1/12/2024,Friday,Highway,1,0,23,Online,1,4,Compact,4156.386037,gray,25034.10627,6490.132347,1000,1046.71,4.040614689,5,N
7858944,66,M,1,54,37012.8,1,1,Rent,50009,1/2/2023,Monday,Highway,0,0,95,Online,0,5,Medium,31278.85513,black,15775.43402,3907.62004,1000,1053.04,4.719546287,3,Y
8024832,28,F,0,90,93347.2,1,1,Rent,20143,12/5/2023,Tuesday,Local,1,0,49,Online,1,4,Large,18898.80802,other,15048.62737,3648.159041,2000,1402.75,3.152267294,3,N
8522496,23,M,1,11,40160.0,1,0,Rent,20105,1/10/2024,Wednesday,Parking Lot,0,0,87,Online,1,2,Compact,9898.155732,gray,46334.60254,8220.928126,2000,1587.96,3.356963204,10,Y
8626176,46,F,0,98,41251.2,1,0,Rent,15022,8/9/2024,Friday,Highway,1,1,7,Online,1,5,Medium,16050.36773,black,17457.63154,7978.929465,2000,1079.92,3.339446516,7,Y
8771328,25,M,1,43,93347.2,1,0,Rent,20124,11/7/2023,Tuesday,Local,0,0,66,Online,1,4,Large,14034.02655,blue,13846.02033,3822.847919,1000,1447.78,3.547371642,3,N
